,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0021600005,5,201152,Thaddeus Young,1610612754,Indiana Pacers,1,11,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,2,1,1,20161026,IND,DAL
1,Shot Chart Detail,0021600005,7,201152,Thaddeus Young,1610612754,Indiana Pacers,1,11,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,11,1,1,20161026,IND,DAL
2,Shot Chart Detail,0021600005,24,201152,Thaddeus Young,1610612754,Indiana Pacers,1,9,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,1,159,1,0,20161026,IND,DAL
3,Shot Chart Detail,0021600005,54,201152,Thaddeus Young,1610612754,Indiana Pacers,1,6,3,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-11,62,1,0,20161026,IND,DAL
4,Shot Chart Detail,0021600005,82,201152,Thaddeus Young,1610612754,Indiana Pacers,1,3,24,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,2,1,0,20161026,IND,DAL
5,Shot Chart Detail,0021600005,86,201152,Thaddeus Young,1610612754,Indiana Pacers,1,2,48,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,IND,DAL
6,Shot Chart Detail,0021600005,160,201152,Thaddeus Young,1610612754,Indiana Pacers,2,9,39,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,2,1,0,20161026,IND,DAL
7,Shot Chart Detail,0021600005,274,201152,Thaddeus Young,1610612754,Indiana Pacers,3,11,30,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,-1,1,1,20161026,IND,DAL
8,Shot Chart Detail,0021600005,332,201152,Thaddeus Young,1610612754,Indiana Pacers,3,7,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,0,219,1,0,20161026,IND,DAL
9,Shot Chart Detail,0021600005,495,201152,Thaddeus Young,1610612754,Indiana Pacers,4,6,8,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-1,1,1,20161026,IND,DAL
10,Shot Chart Detail,0021600019,8,201152,Thaddeus Young,1610612754,Indiana Pacers,1,10,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,3,1,0,20161028,BKN,IND
11,Shot Chart Detail,0021600019,26,201152,Thaddeus Young,1610612754,Indiana Pacers,1,9,14,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-20,46,1,1,20161028,BKN,IND
12,Shot Chart Detail,0021600019,46,201152,Thaddeus Young,1610612754,Indiana Pacers,1,7,20,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,-11,1,1,20161028,BKN,IND
13,Shot Chart Detail,0021600019,64,201152,Thaddeus Young,1610612754,Indiana Pacers,1,5,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,-219,-24,1,0,20161028,BKN,IND
14,Shot Chart Detail,0021600019,165,201152,Thaddeus Young,1610612754,Indiana Pacers,2,8,53,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,66,47,1,0,20161028,BKN,IND
15,Shot Chart Detail,0021600019,173,201152,Thaddeus Young,1610612754,Indiana Pacers,2,8,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,2,1,1,20161028,BKN,IND
16,Shot Chart Detail,0021600019,213,201152,Thaddeus Young,1610612754,Indiana Pacers,2,4,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-10,1,1,20161028,BKN,IND
17,Shot Chart Detail,0021600019,246,201152,Thaddeus Young,1610612754,Indiana Pacers,2,1,29,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-5,1,0,20161028,BKN,IND
18,Shot Chart Detail,0021600019,282,201152,Thaddeus Young,1610612754,Indiana Pacers,3,9,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,1,20161028,BKN,IND
19,Shot Chart Detail,0021600019,287,201152,Thaddeus Young,1610612754,Indiana Pacers,3,9,10,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,-19,1,1,20161028,BKN,IND
20,Shot Chart Detail,0021600019,326,201152,Thaddeus Young,1610612754,Indiana Pacers,3,5,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,8,1,1,20161028,BKN,IND
21,Shot Chart Detail,0021600019,424,201152,Thaddeus Young,1610612754,Indiana Pacers,4,11,45,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,-11,1,0,20161028,BKN,IND
22,Shot Chart Detail,0021600030,38,201152,Thaddeus Young,1610612754,Indiana Pacers,1,7,44,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,11,1,1,20161029,CHI,IND
23,Shot Chart Detail,0021600030,81,201152,Thaddeus Young,1610612754,Indiana Pacers,1,2,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,11,1,1,20161029,CHI,IND
24,Shot Chart Detail,0021600030,101,201152,Thaddeus Young,1610612754,Indiana Pacers,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,66,-150,644,1,0,20161029,CHI,IND
25,Shot Chart Detail,0021600030,156,201152,Thaddeus Young,1610612754,Indiana Pacers,2,6,13,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-34,16,1,1,20161029,CHI,IND
26,Shot Chart Detail,0021600030,158,201152,Thaddeus Young,1610612754,Indiana Pacers,2,5,42,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,7,1,1,20161029,CHI,IND
27,Shot Chart Detail,0021600030,160,201152,Thaddeus Young,1610612754,Indiana Pacers,2,5,15,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,-24,1,0,20161029,CHI,IND
28,Shot Chart Detail,0021600030,205,201152,Thaddeus Young,1610612754,Indiana Pacers,2,0,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,0,1,1,20161029,CHI,IND
29,Shot Chart Detail,0021600030,265,201152,Thaddeus Young,1610612754,Indiana Pacers,3,5,46,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,21,1,0,20161029,CHI,IND
30,Shot Chart Detail,0021600048,33,201152,Thaddeus Young,1610612754,Indiana Pacers,1,8,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,4,267,1,1,20161101,IND,LAL
31,Shot Chart Detail,0021600048,35,201152,Thaddeus Young,1610612754,Indiana Pacers,1,8,6,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,8,1,1,20161101,IND,LAL
32,Shot Chart Detail,0021600048,51,201152,Thaddeus Young,1610612754,Indiana Pacers,1,6,36,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,3,1,1,20161101,IND,LAL
33,Shot Chart Detail,0021600048,201,201152,Thaddeus Young,1610612754,Indiana Pacers,2,6,25,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-16,1,1,20161101,IND,LAL
34,Shot Chart Detail,0021600048,228,201152,Thaddeus Young,1610612754,Indiana Pacers,2,4,37,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,2,1,1,20161101,IND,LAL
