,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,203516,0021801168,"APR 03, 2019",PHI @ ATL,L,12,1,3,0.333,1,1,1.0,0,0,0.0,0,1,1,2,0,2,2,3,3,1,1
1,22018,203516,0021801158,"APR 01, 2019",PHI @ DAL,L,22,1,6,0.167,0,2,0.0,2,4,0.5,4,4,8,3,0,1,1,1,4,-6,1
2,22018,203516,0021801143,"MAR 30, 2019",PHI @ MIN,W,17,2,6,0.333,1,3,0.333,0,2,0.0,2,5,7,1,0,0,0,1,5,6,1
3,22018,203516,0021801088,"MAR 23, 2019",PHI @ ATL,L,16,2,5,0.4,1,3,0.333,3,4,0.75,1,3,4,0,1,0,0,4,8,-4,1
4,22018,203516,0021801067,"MAR 20, 2019",PHI vs. BOS,W,16,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,3,2,-2,1
5,22018,203516,0021801059,"MAR 19, 2019",PHI @ CHA,W,22,6,9,0.667,2,4,0.5,0,1,0.0,1,3,4,0,0,1,0,4,14,4,1
6,22018,203516,0021801043,"MAR 17, 2019",PHI @ MIL,W,16,2,5,0.4,2,4,0.5,0,0,0.0,0,2,2,0,0,0,1,4,6,-4,2
7,22018,203516,0021801027,"MAR 15, 2019",PHI vs. SAC,W,19,0,3,0.0,0,2,0.0,2,2,1.0,2,1,3,1,0,0,0,4,2,-7,1
8,22018,203516,0021801008,"MAR 12, 2019",PHI vs. CLE,W,22,6,7,0.857,0,1,0.0,0,0,0.0,4,3,7,2,0,1,3,4,12,13,1
9,22018,203516,0021800994,"MAR 10, 2019",PHI vs. IND,W,17,2,5,0.4,1,3,0.333,3,4,0.75,2,3,5,0,1,0,0,3,8,9,1
10,22018,203516,0021800981,"MAR 08, 2019",PHI @ HOU,L,14,1,5,0.2,0,2,0.0,4,4,1.0,3,4,7,0,0,0,1,2,6,-13,1
11,22018,203516,0021800970,"MAR 06, 2019",PHI @ CHI,L,17,5,7,0.714,1,2,0.5,0,0,0.0,2,5,7,0,0,2,0,0,11,-8,1
12,22018,203516,0021800927,"FEB 28, 2019",PHI @ OKC,W,16,2,6,0.333,0,2,0.0,0,0,0.0,2,1,3,0,0,0,1,0,4,-2,1
13,22018,203516,0021800882,"FEB 23, 2019",PHI vs. POR,L,7,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,0,0,0,1,1,2,-1,1
14,22018,203516,0021800868,"FEB 21, 2019",PHI vs. MIA,W,8,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,5,1
15,22018,203516,0021800856,"FEB 13, 2019",PHI @ NYK,W,8,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,1,2,1,1
16,22018,203516,0021800835,"FEB 10, 2019",PHI vs. LAL,W,17,0,5,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,4,0,2,1
17,22018,203516,0021800818,"FEB 08, 2019",PHI vs. DEN,W,15,2,3,0.667,2,2,1.0,0,0,0.0,0,3,3,2,1,0,0,0,6,-6,1
18,22018,203516,0021800809,"FEB 06, 2019",HOU @ SAC,W,28,1,5,0.2,0,2,0.0,2,2,1.0,0,6,6,1,1,1,0,3,4,23,1
19,22018,203516,0021800794,"FEB 04, 2019",HOU @ PHX,W,34,5,11,0.455,3,8,0.375,0,0,0.0,1,1,2,2,4,0,0,3,13,12,1
20,22018,203516,0021800786,"FEB 02, 2019",HOU @ UTA,W,30,4,8,0.5,0,2,0.0,2,2,1.0,2,3,5,0,1,0,1,2,10,6,1
21,22018,203516,0021800774,"FEB 01, 2019",HOU @ DEN,L,25,3,5,0.6,1,3,0.333,2,2,1.0,1,1,2,0,0,0,0,3,9,-3,1
22,22018,203516,0021800753,"JAN 29, 2019",HOU vs. NOP,L,21,3,5,0.6,3,4,0.75,0,0,0.0,1,3,4,1,0,0,0,2,9,-4,1
23,22018,203516,0021800737,"JAN 27, 2019",HOU vs. ORL,W,23,1,1,1.0,0,0,0.0,2,2,1.0,0,4,4,1,1,1,0,1,4,8,1
24,22018,203516,0021800724,"JAN 25, 2019",HOU vs. TOR,W,27,2,4,0.5,0,2,0.0,1,1,1.0,3,5,8,0,2,0,1,3,5,1,1
25,22018,203516,0021800710,"JAN 23, 2019",HOU @ NYK,W,27,2,5,0.4,1,4,0.25,3,4,0.75,1,1,2,0,1,2,1,4,8,-13,1
26,22018,203516,0021800699,"JAN 21, 2019",HOU @ PHI,L,31,2,7,0.286,0,1,0.0,3,3,1.0,1,3,4,2,4,0,1,3,7,-21,1
27,22018,203516,0021800686,"JAN 19, 2019",HOU vs. LAL,W,27,6,9,0.667,4,6,0.667,2,2,1.0,1,2,3,1,0,1,1,4,18,7,1
28,22018,203516,0021800646,"JAN 14, 2019",HOU vs. MEM,W,16,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,6,1
29,22018,203516,0021800641,"JAN 13, 2019",HOU @ ORL,L,15,1,2,0.5,0,0,0.0,0,2,0.0,0,2,2,0,0,0,1,1,2,1,1
30,22018,203516,0021800625,"JAN 11, 2019",HOU vs. CLE,W,20,2,4,0.5,1,3,0.333,2,3,0.667,2,2,4,1,2,1,1,0,7,6,1
31,22018,203516,0021800610,"JAN 09, 2019",HOU vs. MIL,L,11,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,3,1,1
32,22018,203516,0021800593,"JAN 07, 2019",HOU vs. DEN,W,14,2,3,0.667,1,2,0.5,0,0,0.0,1,3,4,2,0,0,2,4,5,2,1
33,22018,203516,0021800582,"JAN 05, 2019",HOU @ POR,L,12,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,7,1
34,22018,203516,0021800565,"JAN 03, 2019",HOU @ GSW,W,8,1,2,0.5,0,1,0.0,1,4,0.25,1,1,2,2,0,0,0,2,3,-1,1
35,22018,203516,0021800402,"DEC 11, 2018",HOU vs. POR,W,18,1,1,1.0,0,0,0.0,0,0,0.0,1,4,5,0,0,0,0,0,2,15,1
36,22018,203516,0021800378,"DEC 08, 2018",HOU @ DAL,L,24,3,7,0.429,2,6,0.333,2,2,1.0,1,3,4,0,1,2,1,2,10,-9,1
37,22018,203516,0021800367,"DEC 06, 2018",HOU @ UTA,L,28,1,4,0.25,0,3,0.0,0,0,0.0,1,4,5,1,0,1,0,3,2,-9,1
38,22018,203516,0021800348,"DEC 03, 2018",HOU @ MIN,L,25,3,5,0.6,1,3,0.333,2,2,1.0,0,5,5,0,1,0,1,5,9,6,1
39,22018,203516,0021800334,"DEC 01, 2018",HOU vs. CHI,W,25,4,7,0.571,1,3,0.333,1,2,0.5,0,3,3,0,1,1,0,3,10,4,1
40,22018,203516,0021800326,"NOV 30, 2018",HOU @ SAS,W,12,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,5,2,13,1
41,22018,203516,0021800309,"NOV 28, 2018",HOU vs. DAL,L,32,8,13,0.615,2,4,0.5,0,0,0.0,2,1,3,1,0,0,1,4,18,-13,1
42,22018,203516,0021800296,"NOV 26, 2018",HOU @ WAS,L,31,4,9,0.444,1,5,0.2,1,1,1.0,2,1,3,1,2,0,1,4,10,-15,1
43,22018,203516,0021800279,"NOV 24, 2018",HOU @ CLE,L,30,2,6,0.333,1,4,0.25,0,0,0.0,0,1,1,1,1,0,2,4,5,-17,1
44,22018,203516,0021800267,"NOV 23, 2018",HOU @ DET,L,29,2,4,0.5,1,2,0.5,0,0,0.0,2,1,3,0,2,0,1,2,5,-14,1
45,22018,203516,0021800258,"NOV 21, 2018",HOU vs. DET,W,33,3,5,0.6,3,5,0.6,5,6,0.833,0,2,2,0,1,1,1,4,14,0,1
46,22018,203516,0021800231,"NOV 17, 2018",HOU vs. SAC,W,27,2,4,0.5,0,1,0.0,2,2,1.0,0,3,3,0,1,1,0,3,6,6,1
47,22018,203516,0021800213,"NOV 15, 2018",HOU vs. GSW,W,33,7,11,0.636,2,6,0.333,3,5,0.6,3,2,5,1,1,0,0,3,19,17,1
48,22018,203516,0021800200,"NOV 13, 2018",HOU @ DEN,W,34,6,8,0.75,2,4,0.5,2,2,1.0,0,4,4,1,1,2,1,3,16,9,1
49,22018,203516,0021800185,"NOV 11, 2018",HOU vs. IND,W,22,0,3,0.0,0,2,0.0,0,2,0.0,0,1,1,2,1,0,0,2,0,-12,1
50,22018,203516,0021800180,"NOV 10, 2018",HOU @ SAS,L,19,0,4,0.0,0,4,0.0,1,2,0.5,0,0,0,0,1,0,1,3,1,-14,1
51,22018,203516,0021800163,"NOV 08, 2018",HOU @ OKC,L,24,2,7,0.286,1,3,0.333,1,1,1.0,3,0,3,0,0,0,0,5,6,-6,1
52,22018,203516,0021800141,"NOV 05, 2018",HOU @ IND,W,27,5,7,0.714,3,4,0.75,0,0,0.0,0,2,2,1,1,0,2,4,13,-1,1
53,22018,203516,0021800129,"NOV 03, 2018",HOU @ CHI,W,17,5,8,0.625,3,5,0.6,2,2,1.0,1,0,1,1,2,1,0,1,15,5,1
54,22018,203516,0021800118,"NOV 02, 2018",HOU @ BKN,W,19,1,3,0.333,0,1,0.0,0,2,0.0,0,1,1,0,0,1,0,3,2,4,1
55,22018,203516,0021800039,"OCT 21, 2018",HOU @ LAC,L,23,2,5,0.4,2,4,0.5,0,0,0.0,2,1,3,1,0,0,1,4,6,13,1
56,22018,203516,0021800035,"OCT 20, 2018",HOU @ LAL,W,22,2,7,0.286,2,5,0.4,0,0,0.0,3,2,5,2,2,0,1,4,6,-10,1
57,22018,203516,0021800009,"OCT 17, 2018",HOU vs. NOP,L,25,3,7,0.429,2,5,0.4,0,0,0.0,1,0,1,0,1,0,0,4,8,-5,1
