,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
9,203518,"Abrines, Alex",Alex Abrines,0,2016,2018,alex_abrines,0,,,,,Y,00
15,203112,"Acy, Quincy",Quincy Acy,0,2012,2018,quincy_acy,0,,,,,Y,01
19,1629121,"Adams, Jaylen",Jaylen Adams,1,2018,2020,jaylen_adams,1610612749,Milwaukee,Bucks,MIL,bucks,Y,01
22,203500,"Adams, Steven",Steven Adams,1,2013,2020,steven_adams,1610612740,New Orleans,Pelicans,NOP,pelicans,Y,00
24,1628389,"Adebayo, Bam",Bam Adebayo,1,2017,2020,bam_adebayo,1610612748,Miami,Heat,MIA,heat,Y,00
25,1629061,"Adel, Deng",Deng Adel,0,2018,2018,deng_adel,0,,,,,Y,01
36,1629152,"Akoon-Purcell, DeVaughn",DeVaughn Akoon-Purcell,0,2018,2018,devaughn_akoon-purcell,0,,,,,Y,01
42,200746,"Aldridge, LaMarcus",LaMarcus Aldridge,1,2006,2020,lamarcus_aldridge,1610612759,San Antonio,Spurs,SAS,spurs,Y,00
54,1628959,"Alkins, Rawle",Rawle Alkins,0,2018,2018,rawle_alkins,0,,,,,Y,01
56,1628960,"Allen, Grayson",Grayson Allen,1,2018,2020,grayson_allen,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y,01
57,1628386,"Allen, Jarrett",Jarrett Allen,1,2017,2020,jarrett_allen,1610612751,Brooklyn,Nets,BKN,nets,Y,00
59,1628443,"Allen, Kadeem",Kadeem Allen,0,2017,2019,kadeem_allen,0,,,,,Y,01
75,202329,"Aminu, Al-Farouq",Al-Farouq Aminu,1,2010,2020,al-farouq_aminu,1610612753,Orlando,Magic,ORL,magic,Y,00
90,1626147,"Anderson, Justin",Justin Anderson,0,2015,2019,justin_anderson,0,,,,,Y,01
93,203937,"Anderson, Kyle",Kyle Anderson,1,2014,2020,kyle_anderson,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y,01
99,201583,"Anderson, Ryan",Ryan Anderson,0,2008,2019,ryan_anderson,0,,,,,Y,00
105,1628387,"Anigbogu, Ike",Ike Anigbogu,0,2017,2018,ike_anigbogu,0,,,,,Y,01
108,203507,"Antetokounmpo, Giannis",Giannis Antetokounmpo,1,2013,2020,giannis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,Y,00
109,1628961,"Antetokounmpo, Kostas",Kostas Antetokounmpo,1,2018,2020,kostas_antetokounmpo,1610612747,Los Angeles,Lakers,LAL,lakers,Y,01
110,203648,"Antetokounmpo, Thanasis",Thanasis Antetokounmpo,1,2015,2020,thanasis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,Y,01
111,2546,"Anthony, Carmelo",Carmelo Anthony,1,2003,2020,carmelo_anthony,1610612757,Portland,Trail Blazers,POR,blazers,Y,00
116,1628384,"Anunoby, OG",OG Anunoby,1,2017,2020,og_anunoby,1610612761,Toronto,Raptors,TOR,raptors,Y,00
122,1627853,"Arcidiacono, Ryan",Ryan Arcidiacono,1,2017,2020,ryan_arcidiacono,1610612741,Chicago,Bulls,CHI,bulls,Y,01
125,2772,"Ariza, Trevor",Trevor Ariza,1,2004,2020,trevor_ariza,1610612760,Oklahoma City,Thunder,OKC,thunder,Y,00
151,201571,"Augustin, D.J.",D.J. Augustin,1,2008,2020,d.j._augustin,1610612749,Milwaukee,Bucks,MIL,bucks,Y,00
163,1629028,"Ayton, Deandre",Deandre Ayton,1,2018,2020,deandre_ayton,1610612756,Phoenix,Suns,PHX,suns,Y,00
170,1628407,"Bacon, Dwayne",Dwayne Bacon,1,2017,2020,dwayne_bacon,1610612753,Orlando,Magic,ORL,magic,Y,01
174,1628963,"Bagley III, Marvin",Marvin Bagley III,1,2018,2020,marvin_bagley_iii,1610612758,Sacramento,Kings,SAC,kings,Y,00
184,1627758,"Baker, Ron",Ron Baker,0,2016,2018,ron_baker,0,,,,,Y,01
186,1627735,"Baldwin IV, Wade",Wade Baldwin IV,0,2016,2018,wade_baldwin iv,0,,,,,Y,01
190,1628366,"Ball, Lonzo",Lonzo Ball,1,2017,2020,lonzo_ball,1610612740,New Orleans,Pelicans,NOP,pelicans,Y,00
193,1628964,"Bamba, Mo",Mo Bamba,1,2018,2020,mohamed_bamba,1610612753,Orlando,Magic,ORL,magic,Y,00
202,200826,"Barea, J.J.",J.J. Barea,0,2006,2019,j.j._barea,0,,,,,Y,01
209,203084,"Barnes, Harrison",Harrison Barnes,1,2012,2020,harrison_barnes,1610612758,Sacramento,Kings,SAC,kings,Y,00
233,203115,"Barton, Will",Will Barton,1,2012,2020,will_barton,1610612743,Denver,Nuggets,DEN,nuggets,Y,01
241,1628966,"Bates-Diop, Keita",Keita Bates-Diop,1,2018,2020,keita_bates-diop,1610612759,San Antonio,Spurs,SAS,spurs,Y,01
249,201587,"Batum, Nicolas",Nicolas Batum,1,2008,2020,nicolas_batum,1610612746,LA,Clippers,LAC,clippers,Y,00
253,201573,"Bayless, Jerryd",Jerryd Bayless,0,2008,2018,jerryd_bayless,0,,,,,Y,00
255,203382,"Baynes, Aron",Aron Baynes,1,2012,2020,aron_baynes,1610612761,Toronto,Raptors,TOR,raptors,Y,01
257,203145,"Bazemore, Kent",Kent Bazemore,1,2012,2020,kent_bazemore,1610612744,Golden State,Warriors,GSW,warriors,Y,01
260,203078,"Beal, Bradley",Bradley Beal,1,2012,2020,bradley_beal,1610612764,Washington,Wizards,WAS,wizards,Y,00
264,1627736,"Beasley, Malik",Malik Beasley,1,2016,2020,malik_beasley,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Y,01
265,201563,"Beasley, Michael",Michael Beasley,0,2008,2018,michael_beasley,0,,,,,Y,00
276,201158,"Belinelli, Marco",Marco Belinelli,0,2007,2019,marco_belinelli,0,,,,,Y,00
279,1628395,"Bell, Jordan",Jordan Bell,0,2017,2019,jordan_bell,0,,,,,Y,01
284,1627761,"Bembry, DeAndre'",DeAndre' Bembry,1,2016,2020,deandre'_bembry,1610612761,Toronto,Raptors,TOR,raptors,Y,01
287,1627733,"Bender, Dragan",Dragan Bender,0,2016,2019,dragan_bender,0,,,,,Y,01
306,1629541,"Bertans, Dairis",Dairis Bertans,0,2018,2018,tmp_dairis_bertans,0,,,,,Y,00
307,202722,"Bertans, Davis",Davis Bertans,1,2016,2020,davis_bertans,1610612764,Washington,Wizards,WAS,wizards,Y,01
310,201976,"Beverley, Patrick",Patrick Beverley,1,2012,2020,patrick_beverley,1610612746,LA,Clippers,LAC,clippers,Y,01
325,203920,"Birch, Khem",Khem Birch,1,2017,2020,khem_birch,1610612753,Orlando,Magic,ORL,magic,Y,01
332,202687,"Biyombo, Bismack",Bismack Biyombo,1,2011,2020,bismack_biyombo,1610612766,Charlotte,Hornets,CHA,hornets,Y,00
333,202357,"Bjelica, Nemanja",Nemanja Bjelica,1,2015,2020,nemanja_bjelica,1610612758,Sacramento,Kings,SAC,kings,Y,00
347,1628469,"Blakeney, Antonio",Antonio Blakeney,0,2017,2018,antonio_blakeney,0,,,,,Y,01
354,202339,"Bledsoe, Eric",Eric Bledsoe,1,2010,2020,eric_bledsoe,1610612740,New Orleans,Pelicans,NOP,pelicans,Y,01
359,1628417,"Blossomgame, Jaron",Jaron Blossomgame,0,2018,2018,jaron_blossomgame,0,,,,,Y,01
363,1629129,"Bluiett, Trevon",Trevon Bluiett,0,2018,2018,trevon_bluiett,0,,,,,Y,01
370,203992,"Bogdanovic, Bogdan",Bogdan Bogdanovic,1,2017,2020,bogdan_bogdanovic,1610612737,Atlanta,Hawks,ATL,hawks,Y,00
371,202711,"Bogdanovic, Bojan",Bojan Bogdanovic,1,2014,2020,bojan_bogdanovic,1610612762,Utah,Jazz,UTA,jazz,Y,00
373,101106,"Bogut, Andrew",Andrew Bogut,0,2005,2018,andrew_bogut,0,,,,,Y,00
377,1628413,"Bolden, Jonah",Jonah Bolden,0,2018,2019,jonah_bolden,0,,,,,Y,01
387,1629067,"Bonga, Isaac",Isaac Bonga,1,2018,2020,isaac_bonga,1610612764,Washington,Wizards,WAS,wizards,Y,01
391,1626164,"Booker, Devin",Devin Booker,1,2015,2020,devin_booker,1610612756,Phoenix,Suns,PHX,suns,Y,00
409,1628449,"Boucher, Chris",Chris Boucher,1,2017,2020,chris_boucher,1610612761,Toronto,Raptors,TOR,raptors,Y,01
434,202340,"Bradley, Avery",Avery Bradley,1,2010,2020,avery_bradley,1610612748,Miami,Heat,MIA,heat,Y,01
441,1628396,"Bradley, Tony",Tony Bradley,1,2017,2020,tony_bradley,1610612755,Philadelphia,76ers,PHI,sixers,Y,01
462,201147,"Brewer, Corey",Corey Brewer,0,2007,2019,corey_brewer,0,,,,,Y,00
472,1628969,"Bridges, Mikal",Mikal Bridges,1,2018,2020,mikal_bridges,1610612756,Phoenix,Suns,PHX,suns,Y,00
473,1628970,"Bridges, Miles",Miles Bridges,1,2018,2020,miles_bridges,1610612766,Charlotte,Hornets,CHA,hornets,Y,00
476,1628515,"Briscoe, Isaiah",Isaiah Briscoe,0,2018,2018,isaiah_briscoe,0,,,,,Y,01
485,1629151,"Broekhoff, Ryan",Ryan Broekhoff,0,2018,2019,ryan_broekhoff,0,,,,,Y,00
487,1627763,"Brogdon, Malcolm",Malcolm Brogdon,1,2016,2020,malcolm_brogdon,1610612754,Indiana,Pacers,IND,pacers,Y,00
491,1628415,"Brooks, Dillon",Dillon Brooks,1,2017,2020,dillon_brooks,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y,00
493,202705,"Brooks, MarShon",MarShon Brooks,0,2011,2018,marshon_brooks,0,,,,,Y,01
500,1628971,"Brown, Bruce",Bruce Brown,1,2018,2020,tmp_bruce_brown,1610612751,Brooklyn,Nets,BKN,nets,Y,01
514,1627759,"Brown, Jaylen",Jaylen Brown,1,2016,2020,jaylen_brown,1610612738,Boston,Celtics,BOS,celtics,Y,00
520,203485,"Brown, Lorenzo",Lorenzo Brown,0,2013,2018,lorenzo_brown,0,,,,,Y,01
533,1628425,"Brown, Sterling",Sterling Brown,1,2017,2020,sterling_brown,1610612745,Houston,Rockets,HOU,rockets,Y,01
537,1628972,"Brown Jr., Troy",Troy Brown Jr.,1,2018,2020,troy_brown_jr,1610612764,Washington,Wizards,WAS,wizards,Y,01
540,1628973,"Brunson, Jalen",Jalen Brunson,1,2018,2020,jalen_brunson,1610612742,Dallas,Mavericks,DAL,mavericks,Y,00
547,1628418,"Bryant, Thomas",Thomas Bryant,1,2017,2020,thomas_bryant,1610612764,Washington,Wizards,WAS,wizards,Y,01
561,203493,"Bullock, Reggie",Reggie Bullock,1,2013,2020,reggie_bullock,1610612752,New York,Knicks,NYK,knicks,Y,01
567,203504,"Burke, Trey",Trey Burke,1,2013,2020,trey_burke,1610612742,Dallas,Mavericks,DAL,mavericks,Y,01
569,202692,"Burks, Alec",Alec Burks,1,2011,2020,alec_burks,1610612752,New York,Knicks,NYK,knicks,Y,01
581,1629126,"Burton, Deonte",Deonte Burton,0,2018,2019,deonte_burton,0,,,,,Y,01
593,202710,"Butler, Jimmy",Jimmy Butler,1,2011,2020,jimmy_butler,1610612748,Miami,Heat,MIA,heat,Y,00
605,203998,"Caboclo, Bruno",Bruno Caboclo,1,2014,2020,bruno_caboclo,1610612745,Houston,Rockets,HOU,rockets,Y,01
611,101181,"Calderon, Jose",Jose Calderon,0,2005,2018,jose_calderon,0,,,,,Y,00
615,203484,"Caldwell-Pope, Kentavious",Kentavious Caldwell-Pope,1,2013,2020,kentavious_caldwell-pope,1610612747,Los Angeles,Lakers,LAL,lakers,Y,00
628,203477,"Canaan, Isaiah",Isaiah Canaan,0,2013,2018,isaiah_canaan,0,,,,,Y,01
631,203991,"Capela, Clint",Clint Capela,1,2014,2020,clint_capela,1610612737,Atlanta,Hawks,ATL,hawks,Y,01
651,201960,"Carroll, DeMarre",DeMarre Carroll,0,2009,2019,demarre_carroll,0,,,,,Y,01
661,1628975,"Carter, Jevon",Jevon Carter,1,2018,2020,jevon_carter,1610612756,Phoenix,Suns,PHX,suns,Y,01
665,1713,"Carter, Vince",Vince Carter,0,1998,2019,vince_carter,0,,,,,Y,00
666,1628976,"Carter Jr., Wendell",Wendell Carter Jr.,1,2018,2020,wendell_carter_jr,1610612741,Chicago,Bulls,CHI,bulls,Y,00
667,203487,"Carter-Williams, Michael",Michael Carter-Williams,1,2013,2020,michael_carter-williams,1610612753,Orlando,Magic,ORL,magic,Y,00
670,1627936,"Caruso, Alex",Alex Caruso,1,2017,2020,alex_caruso,1610612747,Los Angeles,Lakers,LAL,lakers,Y,01
673,201956,"Casspi, Omri",Omri Casspi,0,2009,2018,omri_casspi,0,,,,,Y,00
679,1626161,"Cauley-Stein, Willie",Willie Cauley-Stein,1,2015,2020,willie_cauley-stein,1610612742,Dallas,Mavericks,DAL,mavericks,Y,00
680,1628505,"Caupain, Troy",Troy Caupain,0,2018,2018,troy_caupain,0,,,,,Y,01
682,1628463,"Cavanaugh, Tyler",Tyler Cavanaugh,0,2017,2018,tyler_cavanaugh,0,,,,,Y,01
694,2199,"Chandler, Tyson",Tyson Chandler,0,2001,2019,tyson_chandler,0,,,,,Y,00
695,201163,"Chandler, Wilson",Wilson Chandler,0,2007,2019,wilson_chandler,0,,,,,Y,00
702,1629147,"Chealey, Joe",Joe Chealey,0,2018,2019,joe_chealey,0,,,,,Y,01
713,1629185,"Chiozza, Chris",Chris Chiozza,1,2018,2020,chris_chiozza,1610612751,Brooklyn,Nets,BKN,nets,Y,01
716,1627737,"Chriss, Marquese",Marquese Chriss,1,2016,2020,marquese_chriss,1610612744,Golden State,Warriors,GSW,warriors,Y,00
729,1629109,"Clark, Gary",Gary Clark,1,2018,2020,gary_clark,1610612753,Orlando,Magic,ORL,magic,Y,01
730,203546,"Clark, Ian",Ian Clark,0,2013,2018,ian_clark,0,,,,,Y,01
734,203903,"Clarkson, Jordan",Jordan Clarkson,1,2014,2020,jordan_clarkson,1610612762,Utah,Jazz,UTA,jazz,Y,01
744,1628499,"Cleveland, Antonius",Antonius Cleveland,0,2017,2019,antonius_cleveland,0,,,,,Y,01
770,1628381,"Collins, John",John Collins,1,2017,2020,john_collins,1610612737,Atlanta,Hawks,ATL,hawks,Y,00
773,1628380,"Collins, Zach",Zach Collins,1,2017,2020,zach_collins,1610612757,Portland,Trail Blazers,POR,blazers,Y,00
775,201954,"Collison, Darren",Darren Collison,0,2009,2018,darren_collison,0,,,,,Y,00
778,1629045,"Colson, Bonzie",Bonzie Colson,0,2018,2018,bonzie_colson,0,,,,,Y,01
